tm,watts,temperature,cool_dd,heat_dd,dewPoint,pressure,humidity,windSpeed
2016-01-01 00:00:00,1.6002280677339185,36.0,0.0,29.0,24.54,1016.61,0.63,7.94
2016-01-01 01:00:00,1.3701142105299706,35.73,0.0,29.270000000000003,24.15,1015.99,0.62,8.01
2016-01-01 02:00:00,1.3326508893827496,35.35,0.0,29.65,23.8,1015.83,0.62,7.52
2016-01-01 03:00:00,1.3358466934660815,35.19,0.0,29.810000000000002,23.93,1015.82,0.63,5.76
2016-01-01 04:00:00,1.354708170075585,35.33,0.0,29.67,24.11,1015.6,0.63,7.18
2016-01-01 05:00:00,1.4220181773923977,35.04,0.0,29.96,24.12,1015.36,0.64,6.02
2016-01-01 06:00:00,1.461963481965643,34.69,0.0,30.310000000000002,24.24,1015.34,0.65,6.45
2016-01-01 07:00:00,1.4494660599416669,34.72,0.0,30.28,24.17,1015.5,0.65,5.55
2016-01-01 08:00:00,1.546691900585672,34.75,0.0,30.25,24.56,1015.42,0.66,6.05
2016-01-01 09:00:00,1.7194049244637415,35.46,0.0,29.54,24.61,1015.55,0.64,5.99
2016-01-01 10:00:00,1.7707825828432748,36.45,0.0,28.549999999999997,24.66,1015.52,0.62,6.34
2016-01-01 11:00:00,1.9022220687092104,36.66,0.0,28.340000000000003,24.75,1014.95,0.62,7.9
2016-01-01 12:00:00,1.7945259015630115,37.07,0.0,27.93,23.82,1014.05,0.58,10.05
2016-01-01 13:00:00,1.8379568372302628,36.94,0.0,28.060000000000002,23.59,1013.27,0.58,9.17
2016-01-01 14:00:00,1.6387090180314328,36.98,0.0,28.020000000000003,23.64,1012.66,0.58,7.28
2016-01-01 15:00:00,1.819284018032748,36.41,0.0,28.590000000000003,23.76,1012.35,0.6,6.98
2016-01-01 16:00:00,1.6965344493220758,35.65,0.0,29.35,23.94,1012.32,0.62,7.93
2016-01-01 17:00:00,1.7877237280748537,34.56,0.0,30.439999999999998,25.11,1012.45,0.68,7.4
2016-01-01 18:00:00,1.9355975828460532,33.61,0.0,31.39,25.17,1012.76,0.71,7.1
2016-01-01 19:00:00,1.9170316642318703,32.77,0.0,32.23,24.68,1013.35,0.72,8.61
2016-01-01 20:00:00,1.8392987743649127,32.25,0.0,32.75,23.09,1013.47,0.69,8.25
2016-01-01 21:00:00,1.841462207598978,31.3,0.0,33.7,20.21,1013.6,0.63,8.28
2016-01-01 22:00:00,1.7734529093514626,30.61,0.0,34.39,18.76,1013.55,0.61,8.36
2016-01-01 23:00:00,1.7548453435688591,30.04,0.0,34.96,17.93,1013.74,0.6,8.65
2016-01-02 00:00:00,1.6967358674463455,29.6,0.0,35.4,17.66,1013.91,0.61,7.85
2016-01-02 01:00:00,1.7133848659903512,29.38,0.0,35.620000000000005,17.38,1013.97,0.6,8.21
2016-01-02 02:00:00,1.6273372855757304,28.53,0.0,36.47,17.58,1014.04,0.63,8.1
2016-01-02 03:00:00,1.6658418908435673,29.15,0.0,35.85,17.98,1014.13,0.63,7.74
2016-01-02 04:00:00,1.5422178167600875,29.14,0.0,35.86,18.41,1013.91,0.64,6.71
