tm,watts,visibility,dewPoint,humidity,temperature,pressure,cloudCover,windSpeed,precipIntensity,precipProbability
2015-01-01 00:00:00,2.387494647648148,9.95,5.78,0.76,11.94,1020.81,0.03,5.94,0.0,0.0
2015-01-01 01:00:00,2.4745096502152784,9.95,6.14,0.73,13.04,1019.65,0.04,5.72,0.0,0.0
2015-01-01 02:00:00,2.2888356944282404,9.8,7.16,0.69,15.46,1019.15,0.1,5.55,0.0,0.0
2015-01-01 03:00:00,2.268268418215278,9.7,7.04,0.65,16.73,1018.56,0.06,7.56,0.0,0.0
2015-01-01 04:00:00,2.246352327657408,9.75,6.33,0.62,16.96,1018.0,0.06,7.75,0.0,0.0
2015-01-01 05:00:00,2.198029030361112,9.75,5.45,0.61,16.62,1018.24,0.04,7.29,0.0,0.0
2015-01-01 06:00:00,2.2734695910555565,10.0,5.23,0.59,17.01,1018.8,0.02,6.41,0.0,0.0
2015-01-01 07:00:00,2.2344422890694435,10.0,5.12,0.57,17.78,1018.94,0.04,6.24,0.0,0.0
2015-01-01 08:00:00,2.2666364506041656,10.0,5.51,0.56,18.48,1019.51,0.02,7.48,0.0,0.0
2015-01-01 09:00:00,2.3426514711967594,10.0,5.67,0.48,22.42,1019.5,0.03,8.53,0.0,0.0
2015-01-01 10:00:00,2.305524074092593,10.0,5.38,0.42,25.42,1019.23,0.04,11.22,0.0,0.0
2015-01-01 11:00:00,2.2843630581203707,10.0,5.51,0.38,27.51,1018.76,0.03,12.2,0.0,0.0
2015-01-01 12:00:00,2.3221808873194454,10.0,5.66,0.37,28.7,1017.59,0.03,14.32,0.0,0.0
2015-01-01 13:00:00,2.2490086882916662,10.0,5.9,0.36,29.72,1016.26,0.05,13.77,0.0,0.0
2015-01-01 14:00:00,2.1181287011388887,10.0,5.96,0.35,30.37,1014.94,0.0,12.73,0.0,0.0
2015-01-01 15:00:00,2.08534344904398,10.0,5.74,0.34,30.4,1014.33,0.0,13.2,0.0,0.0
2015-01-01 16:00:00,2.0557042386921305,10.0,5.9,0.36,29.77,1014.19,0.04,12.01,0.0,0.0
2015-01-01 17:00:00,2.1494948714120374,10.0,6.44,0.39,28.13,1014.18,0.02,7.7,0.0,0.0
2015-01-01 18:00:00,2.3375790303402777,10.0,7.18,0.43,26.87,1014.1,0.02,6.85,0.0,0.0
2015-01-01 19:00:00,2.175940812766204,10.0,7.79,0.45,26.3,1014.47,0.06,6.97,0.0,0.0
2015-01-01 20:00:00,2.095360812773149,10.0,9.08,0.48,25.88,1014.23,0.0,7.02,0.0,0.0
2015-01-01 21:00:00,2.1681224588518506,10.0,10.29,0.53,25.15,1014.09,0.0,7.48,0.0,0.0
2015-01-01 22:00:00,2.1666013220092584,10.0,11.18,0.49,27.74,1014.14,0.02,8.41,0.0,0.0
2015-01-01 23:00:00,2.2403350900648142,10.0,11.94,0.5,28.1,1014.38,0.11,8.44,0.0,0.0
2015-01-02 00:00:00,2.2041827263356484,10.0,13.05,0.51,28.95,1014.85,0.31,8.29,0.0,0.0
2015-01-02 01:00:00,1.9724984259351857,10.0,13.34,0.52,28.75,1015.13,0.27,7.18,0.0,0.0
2015-01-02 02:00:00,1.9244210468055547,10.0,13.15,0.55,27.29,1014.99,0.17,5.84,0.0,0.0
2015-01-02 03:00:00,1.9586294958935189,10.0,13.77,0.57,26.75,1015.62,0.05,7.33,0.0,0.0
2015-01-02 04:00:00,1.9206632690370364,10.0,14.17,0.58,26.89,1015.8,0.11,8.06,0.0,0.0
2015-01-02 05:00:00,1.91299564813426,10.0,15.18,0.55,29.23,1016.16,0.0,8.06,0.0,0.0
2015-01-02 06:00:00,1.944425835902778,10.0,15.52,0.54,30.03,1016.95,0.31,7.83,0.0,0.0
2015-01-02 07:00:00,1.9735760699444445,10.0,15.69,0.54,30.44,1018.17,0.44,8.01,0.0,0.0
2015-01-02 08:00:00,2.016936432618056,10.0,15.97,0.53,30.85,1019.34,0.16,8.89,0.0,0.0
2015-01-02 09:00:00,2.2114419984444447,10.0,16.56,0.51,32.79,1020.13,0.16,9.71,0.0,0.0
2015-01-02 10:00:00,2.1034401697314813,10.0,17.07,0.48,34.68,1020.89,0.05,10.75,0.0,0.0
2015-01-02 11:00:00,2.024721041664352,10.0,18.42,0.5,35.05,1020.8,0.31,13.23,0.0,0.0
2015-01-02 12:00:00,2.1648635108125,10.0,18.19,0.48,35.69,1020.42,,12.68,0.0,0.0
2015-01-02 13:00:00,2.2338204938240733,9.68,17.82,0.48,35.54,1021.04,0.75,12.36,0.0,0.0
2015-01-02 14:00:00,2.0526763991759256,9.79,17.6,0.48,35.45,1021.8,0.12,12.98,0.0,0.0
2015-01-02 15:00:00,1.964020015425927,10.0,16.21,0.46,34.67,1022.7,0.31,13.44,0.0,0.0
2015-01-02 16:00:00,1.9447145267129633,10.0,15.17,0.46,33.74,1023.67,0.25,12.33,0.0,0.0
2015-01-02 17:00:00,2.1920318158564815,10.0,15.03,0.5,31.46,1024.7,0.18,9.75,0.0,0.0
2015-01-02 18:00:00,2.3319638529074065,10.0,15.21,0.52,30.5,1025.8,0.15,9.62,0.0,0.0
2015-01-02 19:00:00,2.2762670293333334,10.0,14.98,0.54,29.6,1027.37,0.11,8.46,0.0,0.0
2015-01-02 20:00:00,2.3538593904189815,10.0,14.66,0.54,29.22,1028.31,0.2,9.14,0.0,0.0
2015-01-02 21:00:00,2.153260630125,10.0,13.99,0.53,28.79,1029.47,0.21,9.22,0.0,0.0
2015-01-02 22:00:00,2.1714757304398153,10.0,13.39,0.52,28.56,1030.65,0.17,9.3,0.0,0.0
2015-01-02 23:00:00,2.1508723636851848,10.0,13.32,0.54,27.82,1031.84,0.11,7.02,0.0,0.0
2015-01-03 00:00:00,2.131022376513889,10.0,12.33,0.54,26.59,1032.38,0.09,5.97,0.0,0.0
2015-01-03 01:00:00,2.036116319449075,10.0,12.18,0.58,25.01,1033.32,0.22,4.14,0.0,0.0
2015-01-03 02:00:00,1.950842240238426,10.0,11.76,0.59,23.88,1034.07,0.0,2.85,0.0,0.0
2015-01-03 03:00:00,1.9470919598726848,10.0,11.52,0.62,22.46,1030.68,0.11,3.25,0.0,0.0
2015-01-03 04:00:00,1.985956291148148,10.0,11.57,0.69,20.08,1031.07,0.0,2.12,0.0,0.0
2015-01-03 05:00:00,1.9454465920902781,10.0,11.96,0.71,19.94,1031.78,0.0,2.33,0.0,0.0
2015-01-03 06:00:00,2.0670939017384256,10.0,11.62,0.71,19.38,1032.73,0.0,3.77,0.0,0.0
2015-01-03 07:00:00,2.1169739403263894,10.0,11.71,0.72,19.31,1033.48,0.06,3.01,0.0,0.0
2015-01-03 08:00:00,2.2339872994097227,10.0,11.84,0.75,18.51,1034.38,0.01,1.73,0.0,0.0
2015-01-03 09:00:00,2.3337404989699078,10.0,12.67,0.67,21.87,1034.5,0.0,2.84,0.0,0.0
2015-01-03 10:00:00,2.550960691893519,10.0,11.64,0.57,24.59,1034.5,0.01,4.01,0.0,0.0
2015-01-03 11:00:00,2.46922442131713,10.0,10.12,0.49,26.48,1034.28,0.04,5.01,0.0,0.0
2015-01-03 12:00:00,2.4197355812824073,10.0,10.07,0.47,27.76,1033.59,0.09,5.85,0.0,0.0
2015-01-03 13:00:00,2.430582407416666,10.0,10.25,0.45,28.88,1032.88,0.37,4.94,0.0,0.0
