date,hour,day_of_week,timestamp,temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability
2015-01-01,00,3,1420070400,11.94,clear-night,0.76,9.95,Clear,2.4,1020.81,5.94,0.03,225.0,0.0,5.78,0.0
2015-01-01,01,3,1420074000,13.04,clear-night,0.73,9.95,Clear,3.96,1019.65,5.72,0.04,196.0,0.0,6.14,0.0
2015-01-01,02,3,1420077600,15.46,clear-night,0.69,9.8,Clear,7.0,1019.15,5.55,0.1,209.0,0.0,7.16,0.0
2015-01-01,03,3,1420081200,16.73,clear-night,0.65,9.7,Clear,6.61,1018.56,7.56,0.06,217.0,0.0,7.04,0.0
2015-01-01,04,3,1420084800,16.96,clear-night,0.62,9.75,Clear,6.73,1018.0,7.75,0.06,226.0,0.0,6.33,0.0
2015-01-01,05,3,1420088400,16.62,clear-night,0.61,9.75,Clear,6.7,1018.24,7.29,0.04,232.0,0.0,5.45,0.0
2015-01-01,06,3,1420092000,17.01,clear-night,0.59,10.0,Clear,7.98,1018.8,6.41,0.02,226.0,0.0,5.23,0.0
2015-01-01,07,3,1420095600,17.78,clear-night,0.57,10.0,Clear,9.06,1018.94,6.24,0.04,223.0,0.0,5.12,0.0
2015-01-01,08,3,1420099200,18.48,clear-day,0.56,10.0,Clear,8.8,1019.51,7.48,0.02,213.0,0.0,5.51,0.0
2015-01-01,09,3,1420102800,22.42,clear-day,0.48,10.0,Clear,12.8,1019.5,8.53,0.03,210.0,0.0,5.67,0.0
2015-01-01,10,3,1420106400,25.42,clear-day,0.42,10.0,Clear,14.9,1019.23,11.22,0.04,213.0,0.0,5.38,0.0
2015-01-01,11,3,1420110000,27.51,clear-day,0.38,10.0,Clear,17.05,1018.76,12.2,0.03,223.0,0.0,5.51,0.0
2015-01-01,12,3,1420113600,28.7,clear-day,0.37,10.0,Clear,17.63,1017.59,14.32,0.03,220.0,0.0,5.66,0.0
2015-01-01,13,3,1420117200,29.72,clear-day,0.36,10.0,Clear,19.15,1016.26,13.77,0.05,218.0,0.0,5.9,0.0
2015-01-01,14,3,1420120800,30.37,clear-day,0.35,10.0,Clear,20.41,1014.94,12.73,0.0,214.0,0.0,5.96,0.0
2015-01-01,15,3,1420124400,30.4,clear-day,0.34,10.0,Clear,20.26,1014.33,13.2,0.0,217.0,0.0,5.74,0.0
2015-01-01,16,3,1420128000,29.77,clear-day,0.36,10.0,Clear,19.97,1014.19,12.01,0.04,212.0,0.0,5.9,0.0
